3,0;38,1
4,0;39,3
5,0;40,5
6,0;41,7
7,0;43,0
8,0;44,2
9,0;45,4
10,0;46,6
11,0;47,7
12,0;48,1
13,0;48,6
14,0;48,5
15,0;48,4
16,0;48,3
17,0;48,2
18,0;48,1
19,0;48,0
20,0;47,9
21,0;47,8
22,0;47,7
23,0;47,6
24,0;47,5
25,0;47,4
26,0;47,4
27,0;47,2
28,0;47,1
29,0;47,0
30,0;46,9
31,0;47,1
32,0;46,5
33,0;46,3
34,0;46,0
35,0;45,7
36,0;45,4
37,0;45,1
38,0;44,8
39,0;44,5
40,0;44,2
41,0;44,1
42,0;43,8
43,0;43,8
44,0;43,8
45,0;43,8
46,0;43,8
47,0;43,8
48,0;43,8
49,0;43,8
50,0;43,7
51,0;43,6
52,0;43,7
53,0;43,6
54,0;43,6
55,0;43,4
56,0;43,3
57,0;43,2
58,0;43,1
59,0;43,0
60,0;43,1
61,0;42,7
62,0;42,4
63,0;42,1
64,0;41,9
65,0;41,6
66,0;41,3
67,0;41,1
68,0;40,7
69,0;40,4
70,0;40,4
71,0;39,4
72,0;39,1
73,0;38,6
74,0;38,1
75,0;37,6
76,0;37,1
77,0;36,6
78,0;36,1
79,0;35,6
80,0;35,4
81,0;35,1
82,0;34,8
83,0;34,7
84,0;34,6
85,0;34,5
86,0;34,4
87,0;34,3
88,0;34,2
89,0;34,0
2,5;37,4
1,9;36,7
1,1;36,0
89,9;33,9
