Behavior,Fear,Infected
34,0,0
34,0,2
34,0,8
34,0,10
34,0,13
34,0,20
34,0,24
34,0,31
34,0,47
34,0,60
34,0.125,79
34,0.375,94
34,0.5,120
34,0.5,140
34,0.625,160
34,0.75,206
34,1,256
34,1.75,311
34,2.25,360
34,2.875,437
34,3.875,496
34,5,554
34,6.25,630
34,7.875,706
34,11.125,780
34,14.5,871
34,18.625,950
34,24,1022
34,27.25,1099
34,27.5,1206
34,30.5,1313
34,38.75,1430
34,41.875,1541
34,46.75,1684
34,51.25,1794
34,57.5,1905
34,53.875,2056
34,56.375,2224
34,67.875,2400
34,71.375,2555
34,75.75,2729
34,81.625,2889
34,86.25,3024
34,81.625,3238
34,84.125,3485
34,97.75,3713
34,102.375,3925
34,104.125,4195
34,107.875,4362
34,112.375,4548
34,107.375,4871
34,108.875,5175
34,120,5479
34,120.25,5766
34,121.25,6071
34,123.75,6305
34,125,6505
34,121.125,6853
34,121.5,7178
34,127.625,7488
34,127.25,7818
34,127.875,8157
34,128.375,8370
34,128.625,8530
34,126.375,8796
34,125.625,9077
34,129.125,9330
34,128.75,9554
34,128.625,9789
34,128.5,9926
34,128.625,10082
34,124.5,10439
34,125.125,10727
34,129.875,10962
34,129.625,11175
34,129.25,11385
34,129.125,11470
34,128.75,11571
34,121.5,11742
34,118.75,11897
34,128.5,12019
34,126.875,12159
34,124.375,12276
34,123.375,12346
34,121.875,12394
34,112.5,12497
34,105,12600
34,122,12683
34,118.5,12792
34,114.75,12896
34,115.125,12939
34,112.5,12998
34,103.625,13097
34,95.5,13174
34,115.125,13258
34,110.125,13333
34,109.625,13414
34,106,13443
34,104,13476
34,95.75,13560
34,88.625,13630
34,105.625,13697
34,100.375,13771
34,101.875,13840
34,101.875,13874
34,100.25,13897
34,92.625,13961
34,85.75,14013
34,103.125,14057
34,97.375,14104
34,92.375,14133
34,88.75,14149
